"key","zh_CN","en_US"
"faq.q2","支持哪些模型和服务商？","Which models and providers are supported?"
"faq.a2a","对话：OpenAI、DeepSeek、豆包等，兼容 OpenAI / Anthropic / Gemini 协议；","Chat: OpenAI, DeepSeek, Doubao and more, with OpenAI / Anthropic / Gemini compatible protocols;"
"faq.a2b","图片：Nano Banana、GPT Image 2、Seedream 5.0、Grok Imagine；视频：Seedance 2.0。此外支持自定义兼容接口，模型列表完全由你维护。","Images: Nano Banana, GPT Image 2, Seedream 5.0, Grok Imagine; Video: Seedance 2.0. Custom compatible endpoints are supported too, and your model list is entirely yours to curate."
"faq.q3","图片最大支持多大分辨率？","What's the maximum image resolution?"
"faq.a3","提供方形（1024×1024）、竖版、横版与高清（2048×2048）多种画幅，一次可生成 1–4 张，生成过程逐张落库。","Choose square (1024×1024), portrait, landscape or HD (2048×2048) canvases, 1–4 images per run — each lands in your library as it finishes."
"faq.q4","视频可以生成声音吗？","Can videos have audio?"
"faq.a4","可以。视频工作室提供「生成声音」开关，比例支持 16:9 / 9:16 / 1:1，时长 4–12 秒，分辨率 480p–1080p，生成进度实时显示，任务即刻出现在资料库。","Yes. The Video Studio offers a “Generate Audio” toggle, 16:9 / 9:16 / 1:1 aspect ratios, 4–12 second clips at 480p–1080p, live progress — and tasks appear in your library right away."
"faq.q5","我的作品存在哪里？","Where do my creations live?"
"faq.a5","全部保存在设备本地的资料库中，可全屏预览、保存到相册或系统分享。卸载 App 即全部删除；应用也已为未来的 iCloud 同步预留持久层。","Everything is stored in the on-device library with full-screen preview, save-to-Photos and system sharing. Uninstalling removes it all; the app already reserves a persistence layer for future iCloud sync."
"faq.q6","我的 API Key 安全吗？","Are my API keys safe?"
"faq.a6","安全。Key 使用 iOS Keychain 加密存储，仅保存在你的设备上；生成与对话请求由设备直连你配置的服务商，我们没有任何中间服务器。","Yes. Keys are encrypted in the iOS Keychain and stay on your device; generation and chat requests go straight from your device to the providers you configured — we run no middle servers."
"contact.eyebrow","联系","CONTACT"
"contact.title","联系我们","Get in touch"
"contact.sub","疑问、提议，或者想和我们一起做点事。","Questions, ideas — or something you'd like to build with us."
"contact.s.title","技术支持与建议","Support & Feedback"
"contact.s.desc","遇到问题或有功能建议，我们会尽快回复。","Found a bug or have a feature request? We usually reply fast."
"contact.b.title","合作与投资","Business & Investment"
"contact.b.desc","商务合作、渠道洽谈与投资事宜，欢迎来信。","Partnerships, distribution and investment inquiries are welcome."
"footer.privacy","隐私政策","Privacy Policy"
"footer.support","技术支持","Support"
"footer.biz","商务合作","Business"
"footer.note","© 2026 Suzatei. 保留所有权利。生成内容由 AI 产生，请遵守当地法律法规使用；本应用与所提及的模型 / 平台无隶属关系。","© 2026 Suzatei. All rights reserved. Generated content is AI-produced; use it in accordance with local laws. This app is not affiliated with the models or platforms mentioned."
